I brought ... and gave ... where ... 	Babylon, my capital city, they saw my ... and ... their ... 
If the sun in ... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
Witness ... -ilu.	Witness Azi-il, scribe.
Whoever in the future, at any time, lodges a complaint, whether Upaq or his sons or his brothers or any relative of his or his prefect or his labour-duty superior, and seeks a lawsuit or litigation against Bel-Harran-beli-uṣur or his son	Whoever in the future, at any time, lodges a complaint, whether Bel-Harran-isse'a or his sons, grandsons, brothers or relatives, and seeks a lawsuit or litigation against Šumma-ilani, his sons and grandsons, shall pay x minas of silver, and shall return the money tenfold to its owners. He shall contest in his non-lawsuit and not succeed.
Witness Zabdanu.	Witness Ubru-Issar, servant of ... 
Ittî, chariot driver;	Witness NN, chariot driver.
he stole ... 	... s to ... 
Witness Sipparanu, tanner of colored leather.	Witness Sangu-Issar, commander-of-fifty of the tanners of  coloured leather.
Whoever in the future, at any time, whether Aššur-naṣir or his sons or brothers or his governor, seeks a lawsuit or litigation against Šamaš-abu-uṣur, his sons and grandsons, shall place x minas of refined silver and one mina of pure gold	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
There is a cross-shaped marking in the middle surface of the 'finger.' The top of the ... surface of the 'finger' ... 	There is a hole in the wide part of the left side of the 'finger' at the side of the middle surface of the 'finger.'             
17 10 ... ,	1 ... -garment ... ,
... I have written to the king, my lord ... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
... there is not ... 	Aššur-etel-šame-erṣeti-muballissu is doing well, his fever has gone down; there is nothing to worry about.
The king said to the ... 	We did not perform the ... we will write to the king, our lord, concerning the final accounting of the ... 
I am a servant who reveres the kings, my lords. I must not become estranged from the kings, my lords.	I am a dog who reveres the king, my lord. I have written to the king, my lord. May the king, my lord, do as he deems best.
total — Ninurta.	total — the god ... 
and seeks a lawsuit or litigation against Inurta-ahu-iddina,	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
x, 2, the commanders-of-50, the 'third men' ... ;	1, commanders-of-50 of the 'third men' (of the) ša šēpi guard;
... his prosperity 	... is present. The left of the gall bladder is attached.
Concerning the tablet which the ... s sent me ... 	Concerning the ... about which the king, my lord, wrote to me —  the dream rituals should be performed on the 13th day, in the morning... On the 13th day the moon will be covered with the crown of  splendour. Afterwards, ... on the 14th day, the moon will be seen  in opposition to the sun, a good oracular utterance will answer you.
Witness NN, deputy priest.	Witness NN, ditto of Tušhan.
... upon the city gate	... from the city GN he came to the Inner City ... 
... the governor of Si'imme;	for the governor of Arrapha, the road in question is very slow. He sets out from Zaban, and it takes him three days to get there, while I can make a round-trip to Parsua going this way.
May a later prince restore it (and) return my inscribed name to its place. (Then) the goddess Nunaittu will listen to his prayers.	May a later prince restore it (and) return my inscribed name to its place. (Then) the gods Sîn and Šamaš will listen to his prayers.
In Til-hawar ... 	and the king will hear ... 
May Belet-ili, the lady of creation, cut off birth from your land; may she deprive your nurses of the cries of little children in the streets and squares.	May Belet-ili, the lady of creation, cut off birth from your land; may your nurses be deprived of the cries of little children in the streets and squares.
... shall have the usufruct of ... 	Neither a royal delegate nor his prefect shall have the usufruct of even half (of the field).
The facing (of the quay wall) which faces the River (Tigris), which through the (action of the) water had become dilapidated and the flood had eroded away its limestone and baked brick: I restored that facing (of the quay wall) with bitumen and baked brick (and) made it the thickness of four and one half bricks. I faced the back of it with limestone and bitumen mortar. I deposited my monumental inscriptions.	The facing (of the quay wall) which faces the River (Tigris) from the entrance of the upper city, at the Ea-šarru Gate, to the entrance of the lower city, at the Tigris Gate, which through the (action of the) water had become dilapidated and whose limestone and baked brick the flood had eroded away: I restored that facing (of the quay wall) with bitumen and baked brick (and) made it the thickness of four and one half bricks. I faced the back of it with limestone and mortar from the city Ubasē and deposited my monumental inscription.
10 ducks, ditto;	x, chariot drivers, ditto;
... (and) you say: ... 	... and to Babylon ... 
May the king, my lord, write to the people of the Inner City.	May the king, my lord, write to his servant that the king is well and happy.
I have just sent to the king, my lord.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
Month Tebet (X), 9th day, eponym year of Zazî.	Month Tishri (VII), 20th day, eponym year of Gabbaru.
Between the 'cap' of the lung and the 'lift of the head' of the lung a piece of flesh is ... : the sun in its rising... 	If between the 'cap' of the lung and the 'lift of the head' of the lung a piece of flesh is ... : the sun in its rising.
... , in all an estate ... 	If Mercury ... a small harvest ... 
My guard is strong, I am not negligent.	He has decided (to do) the things that you hear. Let the army (and) their ... be assembled before him, and let ... their guard be strong. Do not be negligent but ... 
... before the city Ku... 	I gave him ... The city ... 
... 2 women ... 	Concerning ... from Tabal and Que about whom they wrote to me  from the Palace - let Aššur, Bel (and) Nabû come into the presence of the king as soon as they lay their ... in Ṭurušpâ and their ... s from ... are visiting  the crown prince in Assyria.
... the city wall	The city Iallgu of Bīt-Adini I conquered.
Why on earth did ... 	... the great gods of heaven and earth ... 
Witness Nergal-ila'i, scribe.	Witness Nergal-šarru-uṣur, son of Dayyan-Adad.
A built house with its beams, and with its doors, ... 	A built house with its beams, one of its doors, the upper story together with an exit, adjoining the house of Ah-abû, adjoining the house of Sunaya, adjoining the house of Hana-huru —
The palace of Sennacherib, king of Assyria.	Sennacherib, king of Assyria, the one who fashioned image(s) of (the god) Aššur and the great gods, I: With baked bricks from a (ritually) pure kiln, I had the tikātu-house of the courtyard (where) the pedestals of the Igīgū gods (stand) in rows, made anew and I raised (it) as high as a mountain.
Witness Kalbu, son of Abu-šamši.	Witness Abi-yasubu, son of Samunu-iatuni, goldsmith.
... 10 sheep;	... 92 sheep... ;
Mannu-ki-Adad             	Marduk-bani-zeri             
Witness Nabû-na'id.	Witness Nabû-zeru-... 
Witness Urdu-Issar, son of Tešê-ereš.	Witness Urda-Issar, son of the woman ... 
of Tur... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Seal of ... ayu, owner of the people being given.	Seal of Bel-aplu-iddina, chief singer of Til-Barsip, owner of the people being sold.
Silim-Aššur has contracted and bought her from Nabû-duru-kuṣur for 1/2 mina of silver.	Šarru-lu-dari has contracted and bought the estate from Zabinu ... for half mina of silver.
