not to harm ... 	... to conquer a land not obedient to me ... 
... upon the city gate	If on the 15th day the moon and sun are seen together: a strong enemy will raise his weapons against the land; the enemy will tear down the city gate.
... the governor of Si'imme;	... the governor of Til-Barsip
May a later prince restore it (and) return my inscribed name to its place. (Then) the goddess Nunaittu will listen to his prayers.	May a later prince restore it (and) return my inscribed name to its place. (Then) Aššur will listen to his prayers.
May Belet-ili, the lady of creation, cut off birth from your land; may she deprive your nurses of the cries of little children in the streets and squares.	May Belet-ili, the lady of creation, cut off birth from your land; may your nurses be deprived of the cries of little children in the streets and squares.
... shall have the usufruct of ... 	Neither a royal delegate nor his prefect shall have the usufruct of even half (of the field).
The facing (of the quay wall) which faces the River (Tigris), which through the (action of the) water had become dilapidated and the flood had eroded away its limestone and baked brick: I restored that facing (of the quay wall) with bitumen and baked brick (and) made it the thickness of four and one half bricks. I faced the back of it with limestone and bitumen mortar. I deposited my monumental inscriptions.	The facing (of the quay wall) which faces the River (Tigris) from the entrance of the upper city, at the Ea-šarru Gate, to the entrance of the lower city, at the Tigris Gate, which through the (action of the) water had become dilapidated and whose limestone and baked brick the flood had eroded away: I restored that facing (of the quay wall) with bitumen and baked brick (and) made it the thickness of four and one half bricks. I faced the back of it with limestone and mortar from the city Ubasē and deposited my monumental inscription.
... (and) you say: ... 	... (and) you put ... upon them.
I have just sent to the king, my lord.	I have sent ... to the king, my lord; the king may act as  it (best) suits the king, my lord.
Month Tebet (X), 9th day, eponym year of Zazî.	Month Tebet (X), 25th day, eponym year of Bel-na'id, commander-in-chief.
Between the 'cap' of the lung and the 'lift of the head' of the lung a piece of flesh is ... : the sun in its rising... 	If between the 'cap' of the lung and the 'lift of the head' of the lung a piece of flesh is ... : the sun in its rising.
... , in all an estate ... 	... , in all 9 men ... 
... before the city Ku... 	I had a statue of the mother of the king made for the ... s which are ... in the streets of Gadisê... Utensils ... for (the city of) ... 
... 2 women ... 	... someone ... which surrounded ... did not surround ... 
... the city wall	... the god Aššur, my lord, encouraged me and I marched to the land Judah. In the course of my campaign, I received a payment from the kings of ... With the strength of (the god) Aššur, my lord, I ... the district of ... -Yaū (Hezekiah) of the land Judah like ... (5') ... the city Azaqâ, a place upon which he relied, which (is situated) between my ... and the land Judah, ... is situated upon a mountain peak. Like the blade(s) of daggers, without number, they rise up high into the heavens ... were well fortified and rival high mountains. Looking upon (them), like ... from the heavens ... 
Why on earth did ... 	The king, my lord sent me (saying): "Go and perform a  ritual for Šadditu!" — I did so, (but) I could not perform the rest of the ritual (because) I had to leave for the treaty. Why on earth did Šumaya hurry up from Calah and say to Šadditu: "I shall prepare and perform this ... ritual for you!"
Witness Nergal-ila'i, scribe.	Witness Nergal-ašared, scribe.
A built house with its beams, and with its doors, ... 	A built house with its beams, one of its doors, the upper story together with an exit, adjoining the house of Ah-abû, adjoining the house of Sunaya, adjoining the house of Hana-huru —
The palace of Sennacherib, king of Assyria.	Palace of Sennacherib, king of Assyria: (This is) the audience gift that Karib-il, king of the land Saba, presented to me. Whoever places (it) in the service of a god (or another) person ... 
A thigh, a shoulder, outer cuts, 2 cuts of shoulder of an ox, of the temple of Dagan — of the chief cupbearer.	A thigh, a shoulder, outer cuts; 2 cuts of shoulders, of one ox of the temple of Dagan;
... 10 sheep;	... 92 sheep... ;
Mannu-ki-Adad             	Man(nu)-ki-ahhe             
Witness Nabû-na'id.	Witness Nabû-zeru-... 
Witness Urdu-Issar, son of Tešê-ereš.	Witness Urda-Issar, son of the woman ... 
of Tur... 	Witness Ubru-Issar, servant of ... 
Seal of ... ayu, owner of the people being given.	Seal of Sipranu, owner of the people being sold.
Silim-Aššur has contracted and bought her from Nabû-duru-kuṣur for 1/2 mina of silver.	Ahi-ṭalli, harem woman, has contracted and bought her from Daliya for 1/2 mina of silver.
If the day reaches its normal length: a reign of long days... 	If the day reaches its normal length: a reign of long days.
Remanni-Adad the chariot driver has contracted and bought it for 4 minas of silver by the mina of Carchemish.	Asalluhi-šumu-iddina, cohort commander of the ša šēpi guard of the palace, son of Asalluhi-ahhe-iddina, chief judge, has contracted and bought for 1 1/2 minas of silver by the mina of Carchemish.
Du'ani-Issar, the ... about whom the king, my lord, wrote to me	Concerning the ... about which the king, my lord, wrote to me —  the dream rituals should be performed on the 13th day, in the morning... On the 13th day the moon will be covered with the crown of  splendour. Afterwards, ... on the 14th day, the moon will be seen  in opposition to the sun, a good oracular utterance will answer you.
... throw ... 	... s to ... 
I anointed with oil the monumental inscriptions of former kings, made sacrifices, (and) returned (them) to their places.	I deposited my monumental inscriptions. I anointed with oil the monumental inscriptions of my forefathers, made sacrifices, and returned them with stones, silver, and gold to their places.
... and the Cimmerians	... the troops of the Cimmerians
Badî;	Ahheya, son of Banî;
70 men ... 	and to my men ... 
Go and tell to that king:	as if I did not tell the truth to the king, my lord! Let a royal eunuch who will tell the king my lord the truth come and have a look at these houses of the recruitment officers! If they are already built, let him go and tell it to the king, my lord, and let the king, my lord, hold his report to my discredit and say: "Why do you not tell me the truth?"
I shall give to you. Wine ... 	I shall give you ... 
let them be appointed ... 	let me appoint ... 
... Nanaya ... 	... many ... 
Month of Tishri (VII), 25th day, eponym year of Arbailayu (661 B.C.).	Month Tishri (VII), 11th day, eponym year of Sagab (651).
Witness Kiṣir-Aššur, cohort commander.	Witness Nuranu, cohort commander.
Month of Tishri (VII), 7th day, eponym year of Nabû-šar-ahhešu (646 B.C.).	Month Tishri (VII), 5th day, eponym year of Nabû-šarru-uṣur.
If the moon's (horns) at its appearance are very pointed: the king will rule the land wherever he goes, variant: he will knock down wherever he wants to subdue.	If the moon's horns at its appearance are pointed: the king of Akkad will rule the land wherever he goes, variant: the king of Akkad will weaken the land wherever he intends.
I myself prayed to the deities Aššur, Sîn, Šamaš, Bēl, Nabû, Nergal, Ištar of Nineveh, (and) Ištar of Arbela, the gods who support me, for victory over (my) strong enemy and (v 10') they immediately heeded my prayers (and) came to my aid. 	I myself prayed to the deities Aššur, Sîn, Šamaš, Nergal, (... ) Ištar of Nineveh, Ištar of Arbela, Bēl, Nabû, ... the gods who support me, for victory over the army of (my) enemy and they immediately heeded my prayers (and) came to my aid.
Abu (V), the sixth day, eponymy of Nabû-šar-aḫḫēšu, governor of the land Samaria (645).	Duʾūzu (IV), the ... day, eponymy of Nabû-šar-aḫḫēšu, <gove>rnor of the city Samaria (645).
Witness Marduk-eṭir, ditto.	Witness Marduk-ter, cohort commander.
Marduk-šarru-uṣur, the eunuch ... 	(As for) Tammarītu, the king of the land Elam who had spoken insolent word(s) on account of the cutting off of the head of Teumman — which a low-ranking soldier of my army had cut off — and his brothers, his family, (and) the seed of his father’s house, together with eighty-five nobles of the land Elam who march at his side, who had flown away from the weapons of (the god) Aššur and the goddess Ištar — (vii 50) to praise their great divinity, they crawled naked on their bellies, together with Marduk-šarru-uṣur, a eunuch of mine whom they had taken away (with them) by force, and they grasped the feet of my royal majesty. 
The money is paid completely. That field is acquired from its owner for a second time. Any revocation, lawsuit, or litigation is void.	The money is paid completely. That field is purchased and acquired. Any revocation, lawsuit, or litigation is void.
Witness Aššur-išmanni, (... ).	Witness Aššur-bel-ilani, ... 
Witness Mannu-ki-Aššur, ditto.	Witness Mannu-ki-Aššur.
For the god Marduk, his lord: Ashurbanipal, son of Esarhaddon, king of the world (and) king of Assyria had baked bricks made anew for Etemenanki.	For the god Marduk, his lord: Esarhaddon, king of Assyria (and) king of Babylon, had baked bricks made anew for Etemenanki.
