I brought ... and gave ... where ... 	... whom the king ... 
(Property) of Ninurta-nādin-šumi, king of the world, king of Babylon, king of Sumer (and) Akkad.	News of Merodach-Baladan: he is in Babylon... will not overthrow him but ... 
Month Sivan (III), 1st day, eponym year of Nabû-da''inanni, governor of Que.	Month ... , 23rd day, eponym year of Zazaya.
... will see, hither ... 	Witness ... 
When Ashurnasirpal, king of Assyria, consecrated the joyful palace, the palace  full of wisdom, in Kalḫu (and)	The king will be shut up in his palace; ... and good for the king my lord.
Also, there is a guard who has taken a wife from among the Ruṣapeans. He is a Damunean; thirty years ago he married a Zanakian woman. Now he has claimed her, and I have sent him to the king, my lord. The Zanakians take wives from among the Damuneans and the Gambuleans, (and) they are all making claims. The king, my lord, should not act wrongly in this.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
The god Aššur, father of the gods, looked steadfastly upon me among all of the rulers and he made my weapons greater than (those of) all who sit on (royal) daises. He gave me a just scepter that widens borders (10) (and) he put in my hand a merciless rod to fell enemies. He made rulers of the four quarters (of the world), from east to west, bow down at my feet and they (now) pull my yoke.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
total, the prefect of ... 	Witness Ubru-Issar, servant of ... 
I appointed him as the ... 	Witness ... 
If the moon is surrounded by a halo, and Mars stands in it: loss of cattle; the Westland will become smaller.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
I ordered archers, chariots, (and) horses of my royal contingent to confront (10') the king of the land Elam. They killed many of his troops, including his son, and he (the king of Elam) retreated. They marched to Uruk (and) carried off the god Šamaš of Larsa (and) the goddess the Lady of Uruk, the gods living inside it, together with their property (and) possessions, which are without number. 	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
in the town ... ; Abdi-Kububi, his wife and two sons, a total of 4 persons belonging to Haruranu and Salilanu —	The lady NN, who is placed before your great divinity, who is now ill, and on whom the 'hand' of Nanaya is being placed in extispicy, (whom) your great divinity knows —
... is  present. The 'strength' is absent. The left of the gall bladder is attached... of the 'finger' is split. In the top ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
I have not seen ... As to ... 	Witness Ubru-Issar, servant of ... 
he shall bear the liability for ... 	Witness Ubru-Issar, servant of ... 
... among these men	... we captured
Four hectares of cultivated (and) 2 hectares of fallow (land), a total of 6 hectares of exempt land.	News of Merodach-Baladan: he is in Babylon... will not overthrow him but ... 
Let them be taken out and put aside! 	let him attack ... the archers
are these true and sincere words? If Assurbanipal, king of Assyria, appoints Sin-šarra-uṣur son of Nikkal-iddina over them, will he ... about the ... of Assurbanipal, king of Assyria,	The governor threw the sceptre from his hands, placed his arms on his chest, and said: "You are his servants! What are you saying? You ... your dynastic house! I ... your city."
... who go there	... we captured
Sennacherib, great king, strong king, king of the world, king of Assyria, the attentive prince (who is) your protégé, who by your firm ‘yes’ marched about and who made the insubmissive lands (and) disobedient people of the mountains bow down at his feet:	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
(As for the one who erases my inscription ... ) puts it in another place ... : may ... the goddess Ištar, mistress of battle and conflict ... 	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
PN ... the matter of Kašša... , the maid of Pî-itarru, the servant of Marduk-šallimanni from Dur-ša-Balihaya	Now then I am sending to the king, my lord, the letter of Naṣibi that came to Nabû-iqiša.
... well being sold.	... we captured
                 came                                           	Issar-šimanni                            
... the king of ... 	Witness ... 
The courtyard of the Ešuburanna ... 	Witness Ubru-Issar, servant of ... 
... Is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord?	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
in all, 74 people, deportees	Witness Našuh-ayali, witness Ahi-le'i, viziers.
Should Assurbanipal, king of Assyria, your creature, appoint the man whose name is  written in this oblong tablet and placed before your great divinity, to the office of the royal delegate in the temple of ... in the Inner City?	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
At the time of Šamaš-bunaya ... a certain Ha'ir used to send ... (as) hostages. They were caught ... , and ... 	... he (Argištu) abandoned his camp (and) with a single horse he disappeared... 
... which frighten ... 	Witness ... 
Arbayu, governor;	1, Nabû-šarru-uṣur, governor of Nineveh
Sarduri of the land Urarṭu revolted against me and conspired with Matīʾ-il of (the land Bīt)-Agusi (lit. “son of Agusi”) (against me)... Between the lands Kištan and Ḫalpi, districts of the city Kummuḫu, I utterly defeated him and took his entire camp away from him. 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
The baker of the harem manageress came and told me: "A scepter, a chest,  an iron brazier and a copper kettle have been stolen from the Palace and  sold for money.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
CT 54 509 	... 50 men
... , the ... day, eponymy of ... , governor of ... 	... whom the king ... 
