x talents, Sam'al;	x talents, the manager of the Review Palace;
and seeks a lawsuit or litigation against Inurta-ahu-iddina,	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
x, 2, the commanders-of-50, the 'third men' ... ;	1, commanders-of-50 of the 'third men' (of the) ša šēpi guard;
... his prosperity 	... is present and faces downward. The 'increment' is wide ... 
Concerning the tablet which the ... s sent me ... 	Concerning the tablets of the series ... and the non-canonical tablets ... of which I spoke to the king, my lord, they have now been brought. If it pleases the king, my lord, let them bring them in, and let the king, my lord, have a look.
Witness NN, deputy priest.	Witness NN, deputy.
... upon the city gate	... from the city GN he came to the Inner City ... 
... the governor of Si'imme;	shall give ... to the governor of his city,
May a later prince restore it (and) return my inscribed name to its place. (Then) the goddess Nunaittu will listen to his prayers.	May a later prince restore it (and) return my monumental inscriptions and clay inscriptions to their places. (Then) the god Aššur will listen to his prayers.
May Belet-ili, the lady of creation, cut off birth from your land; may she deprive your nurses of the cries of little children in the streets and squares.	May Belet-ili, the lady of creation, cut off birth from your land; may your nurses be deprived of the cries of little children in the streets and squares.
... shall have the usufruct of ... 	Neither a royal delegate nor his prefect shall have the usufruct of even half (of the field).
The facing (of the quay wall) which faces the River (Tigris), which through the (action of the) water had become dilapidated and the flood had eroded away its limestone and baked brick: I restored that facing (of the quay wall) with bitumen and baked brick (and) made it the thickness of four and one half bricks. I faced the back of it with limestone and bitumen mortar. I deposited my monumental inscriptions.	The facing (of the quay wall) which faces the River (Tigris) from the entrance of the upper city, at the Ea-šarru Gate, to the entrance of the lower city, at the Tigris Gate, which through the (action of the) water had become dilapidated and whose limestone and baked brick the flood had eroded away: I restored that facing (of the quay wall) with bitumen and baked brick (and) made it the thickness of four and one half bricks. I faced the back of it with limestone and mortar from the city Ubasē and deposited my monumental inscription.
10 ducks, ditto;	The woman Šiti-tabni, 2 maids, ditto;
... (and) you say: ... 	the people of his land ... (and) you shall be deported ... ;
May the king, my lord, write to the people of the Inner City.	Now, if it is acceptable to the king, my lord, ... to the Inner City.
I have just sent to the king, my lord.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
... 21 incumbent on Arbailayu;	incumbent on Arbailayu, ... 
Month Tebet (X), 9th day, eponym year of Zazî.	Month ... , 23rd day, eponym year of Zazaya.
Between the 'cap' of the lung and the 'lift of the head' of the lung a piece of flesh is ... : the sun in its rising... 	If between the 'cap' of the lung and the 'lift of the head' of the lung a piece of flesh is ... : the sun in its rising.
... , in all an estate ... 	When my forces came, they did not let you ... ; and all that ... 
... before the city Ku... 	 before the kings ... 
... 2 women ... 	... s to ... 
... the city wall	... the god Aššur, my lord, encouraged me and I marched to the land Judah. In the course of my campaign, I received a payment from the kings of ... With the strength of (the god) Aššur, my lord, I ... the district of ... -Yaū (Hezekiah) of the land Judah like ... (5') ... the city Azaqâ, a place upon which he relied, which (is situated) between my ... and the land Judah, ... is situated upon a mountain peak. Like the blade(s) of daggers, without number, they rise up high into the heavens ... were well fortified and rival high mountains. Looking upon (them), like ... from the heavens ... 
Why on earth did ... 	(The servant) who hears that his lord is well, ... his own health in ... 
Witness Nergal-ila'i, scribe.	Witness Azi-il, scribe.
A built house with its beams, and with its doors, ... 	A built house with its beams, one of its doors, the upper story together with an exit, adjoining the house of Ah-abû, adjoining the house of Sunaya, adjoining the house of Hana-huru —
The palace of Sennacherib, king of Assyria.	Sennacherib, king of Assyria, the one who fashioned image(s) of (the god) Aššur and the great gods, I: With baked bricks from a (ritually) pure kiln, I had the tikātu-house of the courtyard (where) the pedestals of the Igīgū gods (stand) in rows, made anew and I raised (it) as high as a mountain.
Witness Kalbu, son of Abu-šamši.	Witness Paršidu, son of Ahu-... šu, farmer of the major-domo.
A thigh, a shoulder, outer cuts, 2 cuts of shoulder of an ox, of the temple of Dagan — of the chief cupbearer.	A thigh, a shoulder, outer cuts; 2 cuts of shoulders, of one ox of the temple of Dagan;
... 10 sheep;	... 92 sheep... ;
Mannu-ki-Adad             	Nabû-taqqinanni             
Witness Nabû-na'id.	Witness Nabû-zeru-... 
Witness Urdu-Issar, son of Tešê-ereš.	Witness Urda-Issar, son of the woman ... 
of Tur... 	Witness Ubru-Issar, servant of ... 
Seal of ... ayu, owner of the people being given.	Seal of ... , owner of the ... being sold.
Silim-Aššur has contracted and bought her from Nabû-duru-kuṣur for 1/2 mina of silver.	Barsipitu has contracted and bought them from Babilayu for 3 minas of silver by the mina of the merchant.
If the day reaches its normal length: a reign of long days... 	If the day reaches its normal length: a reign of long days.
Remanni-Adad the chariot driver has contracted and bought it for 4 minas of silver by the mina of Carchemish.	Remanni-Adad, chief chariot driver of Assurbanipal, king of Assyria, has contracted and bought it for 10 minas of silver by the (mina) of Carchemish from Bel-šarru-uṣur, Nabû'a and Aššur-ši'i.
Du'ani-Issar, the ... about whom the king, my lord, wrote to me	As to ... about which the king my lord wrote to me, what else  should we do? There is no danger ... 
... throw ... 	... s to ... 
I anointed with oil the monumental inscriptions of former kings, made sacrifices, (and) returned (them) to their places.	In the future may a later prince, when that temple becomes dilapidated and he renovates (it), anoint my monumental inscriptions with oil, make a sacrifice, and return (them) to their places. (Then) the god Šamaš will listen to his prayers.
... and the Cimmerians	... and the rest of Babylon
Badî;	Palace of Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad;
70 men ... 	... and shall send ... 
Go and tell to that king:	I do not tell to the king ... 
I shall give to you. Wine ... 	I shall give you ... 
If ... from the zenith to the horizon ... 	If ... from the horizon to the zenith ... doors ... its appearance like fire, variant ... 
let them be appointed ... 	let me appoint ... 
... Nanaya ... 	Just as I saw, ... in ... 
Month of Tishri (VII), 25th day, eponym year of Arbailayu (661 B.C.).	Month Tishri (VII), 20th day, eponym year of Gabbaru.
Witness Kiṣir-Aššur, cohort commander.	Witness Nuranu, cohort commander.
Month of Tishri (VII), 7th day, eponym year of Nabû-šar-ahhešu (646 B.C.).	Month Tishri (VII), 20th day, eponym year of Gabbaru.
If the moon's (horns) at its appearance are very pointed: the king will rule the land wherever he goes, variant: he will knock down wherever he wants to subdue.	If the moon's horns at its appearance are pointed: the king of Akkad will rule the land wherever he goes, variant: the king of Akkad will weaken the land wherever he intends.
I myself prayed to the deities Aššur, Sîn, Šamaš, Bēl, Nabû, Nergal, Ištar of Nineveh, (and) Ištar of Arbela, the gods who support me, for victory over (my) strong enemy and (v 10') they immediately heeded my prayers (and) came to my aid. 	I myself prayed to the deities Aššur, Sîn, Šamaš, Nergal, (... ) Ištar of Nineveh, Ištar of Arbela, Bēl, Nabû, ... the gods who support me, for victory over the army of (my) enemy and they immediately heeded my prayers (and) came to my aid.
Abu (V), the sixth day, eponymy of Nabû-šar-aḫḫēšu, governor of the land Samaria (645).	Duʾūzu (IV), the ... day, eponymy of Nabû-šar-aḫḫēšu, <gove>rnor of the city Samaria (645).
Witness Marduk-eṭir, ditto.	Witness Marduk-zeru-ibni, scribe.
... ditto ditto ditto ditto, textile, ... , knotted 1 1/2;	... ditto ditto ditto, the fringe knotted, 1 1/2 mina;
Marduk-šarru-uṣur, the eunuch ... 	Now then the ... with the information officer of Marduk-šarru-uṣur ... 
