I brought ... and gave ... where ... 	... and shall send ... 
If the moon is surrounded by a halo, and Šulpa'e stands in it: attack of the troops of the Westland; variant: there will be barley so that there will be no famine; variant: the king of Akkad will experience confinement.	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
May a later prince restore it (and) return my inscribed name to its place. (Then) the goddess Nunaittu will listen to his prayers.	May a later prince restore it (and) return my monumental inscriptions and clay inscriptions to their places. (Then) the god Aššur will listen to his prayers.
If Venus in Ab (V) descends darkly to the horizon and sets: fall of Elam and its troops in battle will take place.	If the day of disappearance of the moon is at an inappropriate time: the ruin of the Gutians will take place.
In Til-hawar ... 	4 minas ... ;
If the sun rises, and the moon ... prosperity for years ... 	If the moon is seen at an inappropriate time: dispersal of a city.
May Belet-ili, the lady of creation, cut off birth from your land; may she deprive your nurses of the cries of little children in the streets and squares.	May Sin, the brightness of heaven and earth, clothe you with leprosy and forbid your entering into the presence of the gods or king. Roam the desert like the wild-ass and the gazelle!
I have now written to the king, my lord. May the king not forsake me,  but let the king command my life! The curse of the king says: "He who sins  against the king, his lord, is dead, even if he has been released."	I have now written down the labour duty which Hau carries for these towns, and I am herewith sending it to the king, my lord. What are the king my lord's orders?
... shall have the usufruct of ... 	... whom the king ... 
The governor and ... threw ... from our brothers in the middle of ... 	The great gods of heaven and earth have sent health to the king, my lord ... 
make rebellion or insurrection against Esarhaddon, king of Assyria,	The word of Ištar of Arbela to Esarhaddon, king of Assyria:
If it is agreeable to the king, my lord, let the king write to Kudurru of Bit-Amukani, so that he may lead them away and settle them where the king, my lord, likes. As long as they live in Bit-Amukani, their brothers will not be subdued and they will not do the work of the king, my lord.	As to the ditch about which the king wrote to us, we made a start on the ditch on the 10th, and on the 8th, as soon as we had  got the men organized, we started measuring the Patti-Illil canal. As soon as we have found out its measurements and where it  is easy and where difficult (to navigate), we shall write again to the king, my lord.
The facing (of the quay wall) which faces the River (Tigris), which through the (action of the) water had become dilapidated and the flood had eroded away its limestone and baked brick: I restored that facing (of the quay wall) with bitumen and baked brick (and) made it the thickness of four and one half bricks. I faced the back of it with limestone and bitumen mortar. I deposited my monumental inscriptions.	At that time the Libūr-šalḫī Gate, which is adjacent to the shrine of the Gate of Aššur, my lord, (and) which had been built previously, had become dilapidated. I cleared away its debris, reconstructed the weakened portions, and rebuilt the ruined section from top to bottom. I deposited my monumental inscription.
10 ducks, ditto;	1 prayer bowl ditto;
... (and) you say: ... 	... and shall send ... 
... the king, my lord, brought (me) my ... , saying: "Let your ... with you!"	To the king, my lord: your servant NN. Good health to the king, my lord!
May the king, my lord, write to the people of the Inner City.	To the king, my lord: your servant NN. Good health to the king, my lord!
I have just sent to the king, my lord.	To the king, my lord: your servant NN. Good health to the king, my lord!
... 21 incumbent on Arbailayu;	... of the country of Arzizu.
Month Tebet (X), 9th day, eponym year of Zazî.	Month ... , 23rd day, eponym year of Zazaya.
Anu, Antu, the Fates, the Kulittus, the Kubus, Ningirsu, the Great Gods, Ebeh, a Royal Image: total 9 gods in the houses of Anu.	Šamaš, Aya, Kittu, Bunene, Umu: total 5 gods of the house of Šamaš. 
Between the 'cap' of the lung and the 'lift of the head' of the lung a piece of flesh is ... : the sun in its rising... 	... is atrophied. In the left side of the lung there is a 'foot'-mark which ... the right of the inside ... 
... , in all an estate ... 	4 minas ... ;
My guard is strong, I am not negligent.	I have written to you; do not be negligent.
... before the city Ku... 	... whom the king ... 
... 2 women ... 	4 minas ... ;
... the city wall	... we captured
Why on earth did ... 	... whom the king ... 
The gods set off (in procession and) enter the ... The whole city ... enters the bedroom.	Now then ... who ... to his messenger ... the order in ... several times ... 
Witness Nergal-ila'i, scribe.	Witness Ubru-Issar, servant of ... 
A built house with its beams, and with its doors, ... 	shall put his enemies under his foot ... 
The palace of Sennacherib, king of Assyria.	The blessings for the gods who dwell in Assyria. 
Witness Kalbu, son of Abu-šamši.	Witness Ubru-Issar, servant of ... 
A thigh, a shoulder, outer cuts, 2 cuts of shoulder of an ox, of the temple of Dagan — of the chief cupbearer.	1 kimru-sheep; 1 sheep for ablution — of the chief cupbearer.
... 10 sheep;	... report
Mannu-ki-Adad             	Marduk-bani-zeri             
Witness Nabû-na'id.	Witness ... 
Witness Urdu-Issar, son of Tešê-ereš.	Witness Ubru-Issar, servant of ... 
Now these towns have been lifted of their state service, and I have  to buy the horses and mules.	... The towns which have been given ... to the king's offspring, which ... oxen and sheep ... 
1 talent of silver ... Nabû-ahhe-... , wine master ... 	... Nabû-aplu-... , his servant
of Tur... 	when ... 
Seal of ... ayu, owner of the people being given.	Seal of ... , owner of the ... being sold.
1 litre of soup, 1 ... -fish, one third of a litre of  beer brought before the king.	... he plundered it ... they brought ... before me.
total, 21 minas ... 	Witness ... 
Silim-Aššur has contracted and bought her from Nabû-duru-kuṣur for 1/2 mina of silver.	Šulmu-šarri, ... has contracted and bought it for 1/2 mina of silver ... 
Concerning what the king, my lord, wrote to me: "Nabû-šarru-ibni and Makkame have appealed to me, saying: '... from among the gardener(s), NN son of NN	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
If the day reaches its normal length: a reign of long days... 	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
Remanni-Adad the chariot driver has contracted and bought it for 4 minas of silver by the mina of Carchemish.	Šulmu-šarri, ... has contracted and bought it for 1/2 mina of silver ... 
Du'ani-Issar, the ... about whom the king, my lord, wrote to me	... Aššur to the king, my lord ... 
... throw ... 	... whom the king ... 
I anointed with oil the monumental inscriptions of former kings, made sacrifices, (and) returned (them) to their places.	I pursued them on the peaks of the mountains and defeated them. I conquered, plundered, destroyed, devastated, (and) burned with fire their cities.
... and the Cimmerians	... whom the king ... 
I am being told: "You are afflicted with the 'hand of Venus,'  due to intercourse with women." I am afraid. There is (nothing) I can do without the king's permission.	Umban-kidinni is telling us: "We would like to go by the road inside the country (= Assyria)." We cannot bring him there without the king('s permission).
Badî;	Su'alî;
Witness Ququ'a, outrider.	Witness Ubru-Issar, servant of ... 
70 men ... 	Witness ... 
which from the time of ... the statue with the name of Tiglath-pileser ... To the lands Nairi I marched. The city Barzaništu(un) I conquered ... I carried off their property, possessions, oxen, sheep, ... (and) turned (it) into ruin hills. The heads of their warriors I cut off ... of the lands Nairi, horses, mules, ... I burnt, ravaged, destroyed, (and) turned into ruin hills.	I conquered the cities of the lands Nirdun, Luluta, the city Dirra, the lands Aggunu, Ulliba, Arbakku, (and) Nirbu. I massacred their (inhabitants), carried off captives from them, (and) razed, destroyed, (and) turned into ruin hills their cities. I imposed upon the land(s) Nairi feudal duties, corvée, (and) laborers.
